Song 4 u (Orchestra version),滨崎步
While My Guitar Gently Weeps,莫文蔚
一同另类 (？？ ？？),"郑俊英,Younha"
万泉河水清又清 (Live),"李丹阳,汤俊"
为你我受冷风吹 (Live),胡彦斌
你的意味 (？？ ？？),
你的意味 (？？ ？？),"IU, ？？？"
冰块们 (？？？/Melted),乐童音乐家
只是你 (？？ ？？？),朴始焕
悬崖巴士 （Cliff Bus）,海龟先生
我爱你 (？？ ？？？),尹美莱
拯救 (2013再生抒情版),成龙
江南Style（Diplo Remix）,"Psy,2 Chainz,Tyga"
漂亮内衣 (？？ ？？),G.NA
漂洋过海来看你 (Live),刘明湘
狼与美女 (EXO 中文版),EXO
狼与美女 (EXO 韩文版),EXO
给点空隙 (？？？ ？),Sweet Sorrow
裸爱(江南style中文版),张可儿
闹翻天 (2012全新单曲),罗志祥
？？ ？？ (我们之间),MBLAQ
？？？ ？ ？？ (Inst.),Younha
？？？？？ (Piano Ver.),幻想巨塔
If you want (如果你愿意),J-Min
Man From Star (Opening Title),韩国原声带
一路向前We Keep On Moving,羽泉
你家门前 (？？ ？ ？),金秀贤
十二月的奇迹(中文版),EXO
十二月的奇迹(韩文版),EXO
危险世界 (iTunes Session),方大同
天气先生 (iTunes Session),方大同
有点甜(汪苏泷介绍版),汪苏泷/ By2
欧若拉(张韶涵介绍版),张韶涵
江南Style（Instrumental）,Psy
？？ ？ ？ (你家门前),金秀贤
？？？？？ (GREEN LIGHT),TROY
I DON&#039;T KNOW(KOREAN VER.),东方神起
My Life Would Suck Without You,Kelly Clarkson
下一个七年，我是谁？,SKY程龙
不要用我的爱来伤害我,韩晶
丑小鸭 (？？？？？？),g.o.d.
世间没有一无所有的人,阿朵
他的唯一（回家的路）,群星
你是负心的人 (发行版),张子冉
先生小姐那些事(live版),Mr.Miss
其实爱不爱没那么重要,一念
凌晨1点 (？？？？)(1AM),太阳
别用眼泪绑架我的决定,张信哲
包子铺（北京琴书版）,王树才
包子铺（民族女声版）,谈芳兵
包子铺（流行风趣版）,赵世林
和从前一样（抒情版）,黄勇
在我们有生之年的日子,黄维德
姐姐，为什么你不说话,周艳泓
惯性冬眠（纯音乐版）,钟欣桐
我想为你唱首安静的歌,"时金宇,雨晴"
我是不是你最疼爱的人,张捷
我是不是你最疼爱的人,李代沫
我的要求不算高(live版),黄渤
新的开始（声声拨弦）,群星
时间都去哪了 (京剧版),霍尊
时间都去哪儿了(live版),王铮亮
最坏时候遇上最好的你,阿鲁阿卓
最坏时候遇上最好的你,"阿鲁阿卓,陈键锋"
最炫民族风 (二人转版),丫蛋
有声歌单——周氏情殇,百度音乐
有声歌单——爵士心情,百度音乐
此资源来自百度音乐人,张楚
此资源来自百度音乐人,朱贝贝
海的对岸有个你(live版),苗小青
滚滚红尘＋闪亮的日子,平安
用一首歌的时间忘记你,DJ青城
空中飞人(2012全新单曲),罗志祥
给所有知道我名字的人,罗琦
给所有知道我名字的人,羽泉
致我们终将逝去的青春,赵英俊
舍不得你痛舍不得你哭,颜羽
请你给我好一点的情敌,莫龙丹
输了你赢了世界又如何,平安
输了你赢了世界又如何,阿来
重口味 (The Headmaster Mix),陈奕迅/谭咏麟
鸿雁（原唱：呼斯楞）,沙宝亮
？？ ？？ (Midnight Blues),Super Junior
Adore You(Cedric Gervais Remix),Miley Cyrus
All I Want For Christmas Is You,Lady Antebellum
Parler &agrave; mon p&egrave;re,C&eacute;line Dion
Tell Me Why (Broadcasting ver.),Toheart(WooHyun&Key)
You & Me (SHINICHI OSAWA remix),滨崎步
不是现在 (？？ ？？？),BEAST
今天一定要 (？？？ ？),B.A.P
你不在北京（Piano Ver.）,曹轩宾
垭口2014（feat. Steve Vai）,齐秦
夜空中最亮的星 女声版,秦岚
夜空中最亮的星(Remix版),逃跑计划乐队
天天想你+今夜无人入睡,孙楠
好像爱你 (？？？？ ？),李承哲
"对不起,只是忽然很想你",李宇春
我一个人 (Not Alone)(Inst.),张力尹
最佳幸运 (？？？ ？？),CHEN
最美的问候（小V之歌）,品冠
有多少爱可以重来 (Live),帕尔哈提
江南Style（Afrojack Remix）,Psy
第121期 谁的爱情不受伤,DJ青城
表面的和平 (Rene Movie版),刘若英
隐形的翅膀+有形的翅膀,张韶涵
露馅了吧 (？？ ？？？),15＆
？ ？？？ (Rum Pum Pum Pum),f(x)
？ ？？？ ？？？ (Blind),艺声
？？ ？？ (善良的女人),2NE1
？？ ？？ ？？？ (inst.),许阁
？？？ ？？？? (GO Crazy),2PM
？？？？？ (Don’t flirt),WINNER
8dayz (feat. ？？？ Of Beast),？？？(Megan Lee)
"Your Wonderful Sweet, Sweet Love",The Supremes
不眠之夜 (？ ？？？ ？),"Crush,？？ (Punch)"
不要告别+Time to say goodbye,平安/倪雅丰
你的空位 (？？ ？ ？？),"申勇在 (4men),李海丽 (Davichi)"
做你心上的人(DJ阿远 Mix),唐古
后会无期(汪苏泷介绍版),汪苏泷/徐良
咬住下唇 ？？？？ ？？,Esna
时间都去哪儿了(现场版),王铮亮
狼与美女 （EXO 中文版）,EXO
花儿 （Daft Punk 灵感版）,吉杰
？ ？？ ？？ (非你不可),2NE1
？？ ？？ ？ (Like tonight),2PM
2014第4周 百度音乐新歌榜,DJ小卷儿
As Time Goes By（Time Goes By）,张根硕
Christmas (Baby Please Come Home),Lady Antebellum
Didn&#039;t We Almost Have It All,Whitney Houston
Making Love Out Of Nothing At All,林志炫
Mr.暧昧模糊 (Mr.？？？？),MAMAMOO
今晚你想念的人是不是我,孙伯纶
伤心的情歌一夜都唱不完,徐一鸣
如果不能好好爱 (心碎版),吴克羣
平凡的人最幸福 (抒情版),丁晓红
我不愿让你一个人(live版),黄品冠
我设计一万种方式遇见你,许飞
抓住那个胖子【宋东野】,大学生播客
有一种相遇，躲不过别离,DJ小卷儿
有女朋友别忘了请我吃饭,阿肆
没了你，我把哭当成了笑,陈翔
现在你是否已经变了模样,丁亮
要死就一定要死在你手里,杨坤
要死就一定要死在你手里,莫西子诗
要死就一定要死在你手里,"莫西子诗,郑钧"
2013第50周 百度音乐新歌榜,DJ小卷儿
2013第51周 百度音乐新歌榜,DJ小卷儿
"Baby, Don't Cry (？？？ ？？)",EXO-K
Sorry Seems To Be The Hardest Word,彭博
Underneath The Tree Cutmore Chri 1,Kelly Clarkson 
你家门前(Inst.) ？？ ？ ？,金秀贤
你是爱我的+男人本该妒忌,扎西顿珠
你这样的女人 (？？ ？？),Boyfriend
依然炙热 (？？？ ？？？),白智英
坏事 (？？ ？)(Bad Behaviour),GOT7
完美的再见 (Good bye my love),Super Junior-M
年轻的战场（2014摇滚版）,张恒远
我们成家吧 (？？ ？？？),Bumkey
最炫民族风 迪斯科舞曲版,凤凰传奇
最高的幸运 (？？？ ？？),CHEN
特别的爱给特别的你+懂你,满文军
百度音乐新歌榜 2013第46周,DJ小卷儿
？？ ？？ ？？ (You You You),Fly To The Sky
Dar um Jeito (We Will Find A Way）,"Carlos Santana,Avicii"
Dar um Jeito (We Will Find A Way）,"Santana,Wyclef,Avicii,Alexandre Pires"
Morning Of Canon (？？？ ？？),白雅言
You &amp; Me (SHINICHI OSAWA remix),滨崎步
凌晨两点半 (？？ ？？ ？),JYJ
回想(When I Was…When U Were…),"CHEN,KRYSTAL"
淋雨一直走(汪苏泷推荐版),汪苏泷OS/张韶涵
辛晓琪回忆当年情 +当年情,"辛晓琪OS,张国荣"
Everything Is AWESOME!!! (Unplugged),电影原声带
Melody (Original mix -Instrumental-),滨崎步
Trespassing [Zak Waters Radio Remix],Adam Lambert
一个人 (feat. 吴青峰)(live版),黄铃凯
不知道你喜不喜欢这样的我,丁爽
你的幸福是我们最好的礼物,王铮亮
北京遇上西雅图的浪漫情歌,大学生播客
无论我走到哪里总会想起你,零点乐队
有一首歌在这个冬季温暖你,大学生播客
清新女声刘瑞琦的私房情话,刘瑞琦
Gangnam Style / 2 Legit 2 Quit Mashup,Psy
Goodbye Summer (f(Amber+Luna+Krystal),"F(x),D.O."
"Let It Snow, Let It Snow, Let It Snow",Lady Antebellum
Stronger (What Doesn&#039;t Kill You),Kelly Clarkson
万物high (feat. 常石磊)(live版),萨顶顶
仲夏夜之蜜 (？？？？？ ？),"San E,Raina"
分手再会 (？？？？ ？？？),Davichi
别打电话 (？？？？ ？？？),Fly To The Sky
最后的第一次 (？？？ ？？),"Melody Day,李昶旻"
第130期 听！那是我们的爱情,DJ青城
第149期 你的世界我只是过客,DJ青城
要死一定要死在你手里 (Live),莫西子诗
那时像那天 (？？ ？？？？),徐恩光 (BTOB)
陈永馨 刘珂《如果云知道》,中国好声音
Have Yourself A Merry Little Christmas,Kelly Clarkson
十一月…还有(November With Love),东方神起
回到拉萨+春天里+怒放的生命,"郁可唯,柯以敏,阿杜"
如果缘只到遇见 (钢琴配乐）,电视原声
爱那一句话 (？？ ？ ？？？),金泰妍 (少女时代)
纸心脏 (？？ ？？)(Paper Heart),f(x)
？？ ？？ (Want U)(feat. Beenzino),？？？
？？？ ？？ (Wolf) (Chinese Ver.),EXO
伤心的人别听慢歌 (贯彻快乐),五月天
我的爱，一直在——百度乐播,大学生播客
有人常常把爱情比作一种冲动,张之夏
要死就一定死在你手里 (新编),莫西子诗
"？ ？？？？, ？？？, ？ ？？",？？？
Pop That Lock [Johnny Labs Extended Mix],Adam Lambert
Raining On The Dance Floor(Original.Ver),张根硕
We Are Never Ever Getting Back Togerther,艾菲
我的老故事 (？？ ？？？？？),
我的老故事 (？？ ？？？？？),IU
？？？？ (feat. ？？ Of ？？？),Mad Clown
Raining On The Dance Floor (Chinese ver.),张根硕
十二月的奇迹 (Miracles in December),EXO
只有今天 (？？？？)(feat. ？？),Phantom
我的每天 (？？ ？？)(My Everyday),J-Min
最高的幸运 (Inst.)(？？？ ？？),CHEN
来自星星的你 (？？？ ？ ？？),Younha
？？？ ？ ？？ (来自星星的你),Younha
十指紧扣的双手 (？？ ？ ？ ？),"张佑荣,？？？"
我是一只小小鸟（官方完整版）,许艺娜
明天不上班 (feat. 蔡健雅)(live版),谢帝
疼 啊博博 （Donna Summer 灵感版）,吉杰
瞬间永恒 + I Can Wait Forever(live版),林志炫
I Believe I Can Fly+Super Star+三天三夜,中国梦之声
有没有那么一首歌 （华谊群星）,中国音超群星
没有能做的 (？ ？ ？？ ？ ？？),朴始焕
闪亮的日子+来自你来自我来自他,中国最强音学员
？？？？？ ？？？？ (English ver.),？(Ken)
Better Than I Know Myself [Robert Marvin &..,Adam Lambert
你的所有瞬间（？？ ？？ ？？）,成诗京
在哪儿?做什么? (？？？? ？？？?),B.A.P
如果缘只到遇见 (吉他演奏配乐）,电视原声
心语(电视剧《舞乐传奇》主题曲),韩红
我会等着你把我一生交给你 (DJ版),东方依依
现在停止争吵 (？？ ？？ ？？？),"许阁,郑恩地"
？？ ？？ (Feat. ？？？ of ？？？),LYn
？？ ？？ ？？（你的所有瞬间）,成诗京
Ce n'était qu'un rêve (Live in Quebec City),席琳狄翁
Never Close Our Eyes [Mig &amp; Rizzo Radio..,Adam Lambert
Where are you going?（你要往哪儿去?）,海龟先生
【叨逼叨电台】咸鱼也有新年梦想,"DJ小卷儿,DJ怪兽,DJ邦邦"
【香蕉电台】嘻嘻哈圣诞爆笑段子,"DJ红领巾,DJ歪歪"
亲爱的再见，谢谢你来过我的世界,大学生播客
你的所有瞬间(inst.)？？ ？？ ？？,成诗京
有声歌单——城市，请你把我遗忘,百度音乐
逢いたくて逢いたくてたまらない,东方神起
？？？？？ ？？？？(以爱的名义),？(Ken)
I Got C (feat. 44060？of 45796？？？？？),朴明秀
Tristesse离别练习曲 (feat. Oh Land 版本),郎朗
张韶涵的DJ节目——带着耳朵去旅行,张韶涵
抱紧我(电视剧《千金归来》片头曲),李沁
斗战神(游戏《斗战神》同名主题曲),陈奕迅
"没关系,是爱情啊 (？？？ ？？？？)",Davichi
Fighter (Tachytelic World Cup Brazil 2014 Remix),"中岛美嘉,加藤美穂"
你的所有瞬间(Original)？？ ？？ ？？,成诗京
如果分开我也爱你（白色情人节版）,关喆
让我一次爱个够+征服+哭不出来+存在,"那英,庾澄庆,汪峰,张惠妹"
记住你和我 (inst.)(？？ ？？ ？？？),金宝静
？？？ ？？ ？？ (Raining Spell For Love),Super Junior
？？？？？（只在心里，Only in mind）,？？？
Trigger to the Thunder of Love （天雷地火）,萧亚轩
像今天这样的眼泪(？？ ？？ ？？？),许阁
张碧晨自称不恋家 杨坤转身惊呼漂亮,中国好声音 
要死就一定要死在你手里 (新编版Live),莫西子诗
像今天一样的眼泪 (？？ ？？ ？？？),许阁
像今天这样的眼泪 (？？ ？？ ？？？),许阁
回家(电视剧《我儿子是奇葩》片尾曲),刘明辉
平安的DJ节目——独家讲述十年选秀路,平安
王铮亮的DJ节目——散落在时光里的歌,王铮亮
？？ ？？ ？？？ (像今天这样的眼泪),许阁
你的所有瞬间 (Piano Ver.)？？ ？？ ？？,成诗京
请走人行道+假行僧+花房姑娘+无地自容,"纪敏佳,李翊君,温岚"
？？ ？？ ？？ ？ (尚未能说出口的话),李弘基
Tristesse离别练习曲 (feat. Natasha Bedingfiel..,郎朗
序曲：但凡世间无仁义 人人心中有梁山,"周华健,张大春"
爱不可及 （电影《触不可及》主题曲）,王菲
【叨逼叨电台】那些又怕又爱的恐怖电影,"DJ小卷儿,DJ怪兽,DJ邦邦"
一生所爱 （电影《西游·降魔》主题曲）,舒淇
有声歌单——每个人心中都有一座断背山,百度音乐
笑忘书+至少还有你+闷+你的名字我的姓氏,"毛宁,麦子杰,顶顶,朱桦"
要死就一定要死在你手里 [新编版](live版),莫西子诗
除了春天爱情和樱花 (？ ？？ ？？ ？？),"HIGH4,IU"
？？？(Instrumental)(电视剧《继承者们》OST),继承者们
你把我灌醉＋让每个人都心碎 （金牌群星）,中国音超群星
"？？？ ？, ？？？ ？ (When I Was…When U Were…)","CHEN,KRYSTAL"
A Moment Like This（中国梦之声官方指定中文版）,茜拉
We Are One (Ole Ola) [The Official 2014 FIFA World,"Pitbull,Jennifer Lopez,Cláudia Leitte"
我就要和你在一起 (电影《人再囧途之泰囧》..,赵英俊/夏筠妍
我就要和你在一起 (电影《人再囧途之泰囧》..,赵英俊
站在高岗上+在那遥远的地方+康定情歌+青春舞曲,"汪小敏,华晨宇,肖懿航,李琦"
我为什么这样 (？ ？？？)(Feat. ？？？ of ？？？？),San E
She,Groove Coverage
Why,九九
不,陈百强
你,
你,屠洪刚
你,蓝又时
你,陈冠希
信,梁珈瑜
光,刘若英
光,王栎鑫
变,林海
吻,萧亚轩
归,费玉清
忘,蓝又时
我,韩寒
我,张国荣
星,艾心
星,谷村新司
枫,周杰伦
爱,sara
爱,许巍
爱,小虎队
爱,谢霆锋
爱,郑秀文
爱,谢霆锋+蔡卓妍
爱,谢霆锋/蔡卓妍
爽,芭比
狼,齐秦
猜,爱戴
猜,斯琴高丽
痛,李翊君
等,卫兰
等,袁泉
等,叶倩文
等,李宇春
等,王心凌
红,杨坤
谁,谢雨欣
谜,许慧欣
野,莫文蔚
错,范逸臣
问,梁静茹
闷,王菲
雪,杜雯媞
零,柯有伦
风,景甜
风,陈诗莉
飘,林宥嘉
飘,王菲菲
飘,陈慧娴
飞,马天宇
魂,信
BABY,陈诗莉
Baby,何维健
Halo,Beyonce
Hero,183Club
I DO,张咪
KISS,王菲菲
Love,洪俊扬
Sara,宝儿
Stan,Eminem
Stay,Bigbang
Stay,萧贺硕
blue,Soler
i do,张靓颖
12356,正月十五
Angel,林子祥
Angel,蔡依林
Angel,Sarah McLachlan
HELLO,王杰
Honey,郑融
Lydia,飞儿乐团
Mercy,Duffy
Mercy,张目
Opera,Vitas
QQ爱,王麟
QQ爱,S翼乐团
Smile,Avril Lavigne
Sorry,许晋豪
Toxic,Britney Spears
Twins,李克勤
amani,beyond
honey,王心凌
lucky,britney spears
Adagio,Secret Garden
Angels,Robbie Williams
Didadi,李玟
Finale,电影原声
Listen,王乃恩
Lonely,卫诗
Melody,萱萱
Melody,陶喆
Monica,张国荣
NoNoNo,Apink
Summer,Joe Hisaishi
Zombie,The Cranberries
memory,薛之谦
monica,阿牛
why+me,李宇春
一半,言承旭
丁当,夜猫
七夕,se7en
七夕,邓丽欣
七月,小鸣
下沙,游鸿明
不哭,侯旭
不悔,"刘庭羽,陆昱霖"
不痛,
不痛,周笔畅
不痛,张韶涵
丝路,齐秦
丝路,梁静茹
主角,林俊杰
义气,张芸京
九妹,黄鹤翔
习惯,张楚格
了结,董贞
亲亲,梁静茹
亲人,丁当
人质,张惠妹
人质,杨宗纬
人间,王菲
以为,汤晓菲
仰望,谢雨欣
传奇,李健
传奇,凤凰传奇
传奇,完玛三智
传奇,春秋乐队
传说,薛之谦
伤城,张远
伤痕,林忆莲
信仰,张信哲
倒带,蔡依林
倔强,五月天
倔强,杨丞琳
候鸟,S.H.E
借口,周杰伦
值得,
值得,郑秀文
假如,BOBO
假如,信乐团
假如,杜丽莎
假如,金城武
假装,刘德华
假装,蔡依林
偏爱,吴雨霏
偏爱,张芸京
偏爱,邓丽欣
偶尔,邓紫棋
催眠,王菲
傻子,杨添茸
傻瓜,吴克群
傻瓜,苏慧伦
儿歌,容祖儿
兄弟,杨坤
兄弟,龙井
兄弟,任贤齐
兄弟,陈奕迅
兄弟,金志文/杨坤
兄弟,陈奕迅+刘德华
光荣,BOBO
再见,李志
再见,小虎队
再见,张震岳
再见,林宇中
冲动,张惠妹
净土,黄耀明
凹凸,梁咏琪
出卖,那英
出嫁,张清芳
出嫁,林志炫
分手,爱戴
分飞,徐怀钰
初恋,红孩儿
初秋,林海
初雪,Bandari
初雪,班得瑞
刺心,常艾菲
剪爱,张惠妹
功夫,张娜拉
加倍,王蓉
动脉,飞轮海
勇敢,BY2
勇敢,张惠妹
勇气,梁静茹
北郊,迟志强
十年,陈奕迅
卓玛,降央卓玛
单车,陈奕迅
卜卦,崔子格
原来,林俊杰
原谅,张玉华
发现,赵薇
发现,陈川晖
发现,国王乐队
可爱,杨丞琳
叶子,羽泉
叶子,萱萱
叶子,阿桑
后来,刘若英
向往,李健
听海,张惠妹
听见,陈乃荣
听说,刘若英
启程,
启程,徐千雅
启程,范玮琪
启程,水木年华
吻别,蝴蝶组合
命运,香香
咏春,七朵组合
咿呦,张恒远
哭砂,叶倩文
哭砂,张惠妹
哭砂,梁雁翎
唯一,王力宏
嘀答,侃侃
囚鸟,
囚鸟,彭羚
四季,朱珠
四季,许巍
四季,梁静茹
四月,林海
回家,王杰
回家,顺子
回忆,恒仔
回忆,钟镇涛
回来,韩红
回音,周定纬
因为,梁博
国家,成龙
国家,常石磊
国家,"刘媛媛,成龙"
国家,成龙+刘媛媛
国家,成龙/刘媛媛
圆规,蓝又时
坚强,马天宇
坦白,萧亚轩
城府,Vae
城门,陈浩民
夏伤,sara
夜曲,周杰伦
大哥,卫兰
大哥,柯受良
大地,Beyond
大地,黄家驹
大海,张雨生
大爱,许志安
天下,张杰
天使,五月天
天堂,光良
天堂,腾格尔
天敌,萧敬腾
天梯,C Allstar
天涯,爱乐团
天路,韩红
天边,
天边,张娜拉
太早,刘允乐
奇迹,满江
奇迹,G.E.M.邓紫棋
奉献,苏芮
奋斗,甄妮
好听,许茹芸
如果,吴建豪
如果,张栋梁
妈妈,含笑
妈妈,胡雯
妈妈,青蛙乐队
姑娘,陈楚生
委屈,金莎
委屈,柯以敏
娃娃,张韶涵
嫁衣,幸福大街
嫦娥,徐子崴
嫦娥,李玉刚
存在,林海
存在,单冲峰
存在,强辩乐团
宁夏,梁静茹
安妮,王杰
安静,周杰伦
安静,纯音乐
宝贝,张悬
宝贝,任贤齐
害怕,林俊杰
害怕,蔡依林
家乡,张琼
宽容,张信哲
宽恕,
小三,冷漠
小小,容祖儿
小小,戴佩妮
小芳,李春波
小草,殷秀梅
小草,小蓓蕾组合
小草,北京天使合唱团
小薇,黄品源
尘缘,罗文
屋顶,
屋顶,周杰伦
屋顶,周杰伦+温岚
屋顶,"周杰伦,温岚"
屋顶,周杰伦/温岚
属于,范晓萱
崇拜,梁静茹
崩溃,麦田守望者
左边,
左边,杨丞琳
希望,AONE
希望,陈慧琳
幸福,许巍
幸福,阿正
幸福,陈明
幸福,毛阿敏
幽州,央吉玛
当你,王心凌
彩虹,羽泉
彩虹,周杰伦
征服,那英
征服,"那英,梁博,张玮,多亮,张赫宣"
微笑,桑兰
微笑,刘德华
心动,庾澄庆
心墙,李翊君
心愿,四个女生
心经,王菲
心醉,希亚
心雨,周杰伦
心雨,杨钰莹
心雨,高胜美
心雨,杨钰莹+毛宁
心雨,"杨钰莹,毛宁"
心雨,杨钰莹/毛宁
心雨,杨钰莹
忐忑,辛晓琪
忐忑,龚琳娜
忘记,周传雄
忘记,林俊杰
怀念,蔡依林
怎样,戴佩妮
怎样,毅光年
怎样,綦光高毅
思念,韩磊
思念,叶倩文
思念,毛阿敏
恒星,汪峰
恒星,张恒远
悬崖,齐秦
悬崖,"萱萱,崔兰花"
情书,张学友
情人,Beyond
情人,刀郎
情人,杜德伟
情人,谭咏麟
情人,G.E.M.邓紫棋
情奴,零峰
情歌,梁静茹
情歌,陈珊妮
情歌,这位太太
想你,范文芳
想哭,李宇春
想哭,陈楚生
想家,西单女孩
想念,乔任梁
想念,刘嘉亮
想念,袁惟仁
想起,江美琪
感动,韩红
愿望,胡彦斌
慢慢,张学友
懂你,满文军
成全,刘若英
我们,张心杰
我们,南拳妈妈
执着,田震
执着,许巍
执着,辛晓琪
承认,辛晓琪
承诺,群星
承诺,陈翔
承诺,刘德华
承诺,辛晓琪
抽离,"徐良,刘丹萌"
拯救,孙楠
掌心,无印良品
掌纹,倪鹏
搁浅,周杰伦
放下,胡夏
放开,爱乐团
放弃,星弟
放手,吴建豪
放手,蔡卓妍
放手,金志文
放生,范逸臣
故乡,毕夏
故乡,腾格尔
故事,许巍
断点,张敬轩
新窝,s.h.e/飞轮海
旅行,许巍
旅行,唐荭菲
旋木,王菲
无双,周杰伦
无情,胡夏
无泪,"袁姗姗,韩栋"
无言,李翊君
无言,张赫宣
时光,许巍
时间,沙宝亮
明天,萧亚轩
星光,S.H.E
星座,王力宏
星星,倪睿思
星星,林育群
星晴,周杰伦
星空,许巍
星空,詹采妮
春泥,庾澄庆
晚秋,毛宁
晚秋,黄凯芹
晴天,
晴天,周杰伦
暖暖,梁静茹
暗号,周杰伦
暗恋,黄晓明
暗香,林海
暗香,沙宝亮
暗香,刘振宇/刘悦
暧昧,王菲
暧昧,杨丞琳
曙光,游鸿明
曹操,林俊杰
曾经,张信哲
最美,羽泉
月光,Bandari
月光,王心凌
月光,胡彦斌
朋友,臧天朔
望月,龚玥
望月,宋祖英
期待,张敬轩
杀手,林俊杰
来电,潘玮柏
梁祝,古筝
梁祝,吴奇隆
棋子,王菲
欢沁,林海
欢颜,齐豫
母亲,汪峰
母亲,阎维文
水手,郑智化
水晶,任贤齐
水晶,任贤齐+徐怀钰
水晶,任贤齐/徐怀钰
永恒,林海
永远,辛晓琪
江南,林俊杰
江山,阿木
泡沫,G.E.
泪桥,伍佰
泪海,方炯镔
活埋,李涛
活该,李宇春
流年,王菲
流恋,吴奇隆
流星,王菲
流沙,马俊伟
流言,林隆旋
浮夸,泳儿
浮夸,梁君诺
浮夸,陈奕迅
海浪,黄品源
淘汰,陈奕迅
清晨,Bandari
清晨,班得瑞
温柔,五月天
渴望,毛阿敏
渴望,辛晓琪
满满,梁文音
漫步,许巍
火苗,格格
烟火,陈绮贞
烟火,黎明+任贤齐
热浪,温岚
煎熬,田丹
爱人,
爱人,王菲
爱你,阿木
爱你,王心凌
爱妃,后弦
爱情,莫文蔚
爱情,郭富城
爱火,蓝琪儿
爱过,童童
父亲,李健
父亲,刘和刚
父亲,胡彦斌
父亲,高明骏
父亲,降央卓玛
牵手,张惠妹
牵挂,刘和刚
犯贱,陈小春
犯贱,"徐良,阿悄"
犯错,斯琴高丽
犯错,斯琴高丽/顾峰
狂流,齐秦
狐狸,纪海星
献世,周杰伦
献身,舒淇
王子,张栋梁
玫瑰,谭晶
珍惜,苏有朋
理想,金志文
用情,张信哲
电影,100%乐团
男人,庞龙
画心,张靓颖
画情,姚贝娜
画沙,周杰伦 袁咏琳
画沙,周杰伦+袁咏琳
疼爱,张卫健
痛快,S.H.E
痴梦,严艺丹
痴迷,林海
白狐,陈瑞
白狐,谢容儿
盛开,李玟
相信,
看清,林芯仪
真实,李琦
真爱,张学友
真爱,杜丽莎
眼睛,张敬轩
眼色,林宥嘉
知足,五月天
破晓,南拳妈妈
礼物,许巍
礼物,江映蓉
礼物,黄立行
祈祷,王杰
祈祷,李岗霖
祈祷,王杰/王韵婵
祝福,张学友
神香,萨顶顶
离别,阿杜
离歌,信乐团
私奔,郑钧
秋歌,小沈阳
秘密,元气
窗外,周迅
窗外,李琛
窗外,窦唯
窗外,齐秦
童年,卓依婷
童年,罗大佑
童话,光良
笑脸,谢东
笔记,周笔畅
答案,誓言
答案,潘嘉丽
籁赋,李宇春
素颜,许嵩
素颜,"许嵩,何曼婷"
繁星,至上励合
红日,李克勤
红豆,王菲
红颜,胡彦斌
约定,光亮
约定,周蕙
约定,王菲
练习,刘德华
经过,何洁/陈楚生
经过,何洁
给你,黄耀明
绽放,戴娆
绿光,孙燕姿
羽毛,王心凌
翅膀,羽泉
翅膀,林俊杰
翅膀,王心凌
老大,小柯
老大,李晓杰
聊天,何勇
背叛,张惠妹
脱掉,杜德伟
自己,李玟
自由,李琦
自由,张震岳
舞娘,蔡依林
船歌,赵鹏
艳遇,萧亚轩
芊芊,回音哥
花火,梁博
花火,汪峰
花火,尚雯婕
花香,许绍洋
苏醒,王杰
苦笑,汪苏泷
英雄,丁于
英雄,张冬玲
萍聚,李翊君
萍聚,"李翊君,孙建平"
落花,黄勇
落花,叶倩文
落花,李小璐
落花,杨钰莹
落花,潘越云
蓝天,成龙+  孙...
蓝雨,张学友
蜗牛,周杰伦
蝴蝶,王菲
蝴蝶,刘若英
蝴蝶,王心凌
蝴蝶,胡彦斌
蝶恋,刘亦菲
表白,萧亚轩
西厢,后弦
觉悟,袁姗姗
解脱,张惠妹
触电,S.H.E
认错,Vae
认错,泳儿
认错,许嵩
记得,李琦
记得,刘浩龙
记得,张惠妹
记忆,刘行格
说谎,
谎言,梁静茹
赔偿,钟汶
趁早,张宇
趁早,张惠妹
路人,江美琪
跳伞,纯音乐
踏浪,
踏浪,徐怀钰
身旁,苏醒
身边,无印良品
车站,夏韶声
轨迹,周杰伦
转弯,吴奇隆
转机,潘玮柏
过火,张信哲
迷宫,林海
迷宫,于浩威
迷宫,梁朝伟/杨千嬅
迷途,迪克牛仔
退后,周杰伦
送别,周传雄
逃脱,阿悄
逆光,孙燕姿
选择,叶倩文
选择,"叶倩文,林子祥"
选择,叶倩文/林子祥
遇到,
遇见,金润吉
遗憾,方炯镔
遥望,谢雨欣
邂逅,云菲菲
醉拳,成龙
采莲,姚贝娜
重来,张韶涵
重逢,孙楠
重逢,叶倩文
重逢,毛阿敏
野花,田震
钢琴,单行道乐队
钻石,乔任梁
错怪,"杨幂,刘恺威"
错爱,张晴
错爱,江若琳
错爱,阿里郎
错觉,张婧
错过,李晟
错过,祁隆
错过,沙宝亮
长城,Beyond
问情,蔡幸娟
问月,武艺
随缘,温兆伦
难道,
雨天,
雨天,孙燕姿
雨念,刘力扬
雨蝶,李翊君
雨衣,黄品源
雪人,范晓萱
雪人,"范晓萱,王力宏"
青春,张恒远
青花,周传雄
青鸟,许巍
面具,安七炫
颜色,刘忻
风云,屠洪刚
风筝,孙燕姿
风筝,陈沐雷
飘摇,周迅
飘雪,韩雪
飘雪,陈慧娴
飞舞,王冰洋
飞鸟,范冰冰
香水,谢霆锋
驼铃,刀郎
高飞,张杰
鸭子,苏慧伦
鸿雁,格格
