10minutes-韩国歌曲,李孝利
对歌,林海
寻找天堂,艾歌
射中丘比特,黑龙
小丑的梦想,带泪的鱼
小两口,"安又琪,吴樾"
小人,"赵小兵,冷漠"
小人,"赵小兵,冷漠"
小人,"赵小兵,冷漠"
小兔子乖乖-把门开开,儿童歌曲
小可乐,正月十五
小号进行曲,群星
小夜曲-世界名曲古典钢琴,古典音乐
小妹儿,高旭
小妹甜甜甜,杨钰莹
小姐万岁,蒋承龙
小娃娃,樊凡
小宝贝乖乖睡觉,小蓓蕾组合
小小时代,群星
小小水仙花,小蓓蕾组合
小小艺术家,巴赫
小幸福,徐菲琳
小恋曲（DJ版）,徐良
小提琴,卡农
小提琴协奏曲,胎教音乐
小提琴独奏,加勒比海盗
小星星(???),乐童音乐家
小李飞刀,许冠杰
小李飞刀,罗文
小松鼠过河,儿歌
小步夜曲,肖邦
小河淌水FlowingCreek,纯音乐
小燕子-儿歌大全,儿童歌曲
小牧童,儿歌
小白兔,儿童歌曲
小白兔请客,小蓓蕾组合
小老鼠,小蓓蕾组合
小螺号,小蓓蕾组合
小螺号,群星
小跳蛙,青蛙乐队
小鸡哔哔,洛天依
小龙人,小龙人
小龙人(影视歌曲),儿童歌曲
少先队队歌,儿童歌曲
少年呀,G-Dragon
少年呀(????),G-Dragon
就算世界无童话,卫兰
就让一切走远(伴奏),黑龙
山丹丹花开红艳艳,阿宝
山地情歌,高胜美
山水间,玖月奇迹
山里红,祁隆
岛歌,陈悦
差半步,陈展鹏
已是两条路上的人,赵雷
巴啦啦小魔仙-片尾曲星座密码之奇迹舞步,大小ann
布兰诗歌,群星
布列瑟农,MatthewLien
帅哥去哪儿,陈梓沫
希望你懂我,"郑源,郑东"
希然宁泊—自省?心经,萨顶顶
帝王之恋,李贵府
带泪的鱼,带泪的鱼
帮助蝌蚪找妈妈（选自A大调小提琴第五协奏曲）,莫扎特
常回家看看,龚玥
平安最好,李泽坚
平沙落雁,管平湖
平沙落雁,"林克仁,古琴,洞箫,刘正春"
平淡日子里的刺,宋冬野
年轻无极限,孙燕姿
年轻时代,郑智化
幸福万年长,汤灿
幸福女人,陈瑞
幸福家乡,安与骑兵
幸福拍手歌,小蓓蕾组合
幸福时光,石进
幸福的星星,带泪的鱼
幻想家,庄心妍
幻音宝盒,秦时明月
幽灵公主,轻音乐
幽狐,董贞
广场舞曲,乌兰图雅
广陵散,中央民族乐团
康电情歌(激情版)（Remix版）,王绎龙
康美之恋,谭晶
康美之恋,谭晶
庸人自扰(清晰版),小虎队
廉价的爱情,黑龙
延安颂,李双江
开场曲-cut-qq空间非主流歌曲,劲舞团
开心的笑,胎教音乐
开门红,"火风,汤灿"
弄你迪士高-弄你,DJ舞曲
弟子规,儿童歌曲
张赫宣的DJ节目——经典男人歌,张赫宣
弥烟,谢华
归(兄弟),龙井说唱
当你离开我,M4M
当兵的历史,谭晶
当我唱起这首歌,"小贱,星弟"
当我开始偷偷的想你,张惠妹
当我想你的时候(live版),汪峰
当时的月亮,"侯磊,丁克森"
当爱情经过的时候,周艳泓
当爱离别时,龙梅子
当爱离别时成品,龙梅子
彩云之南,央金
彩虹(???)(Rainbow),f(x)
彩虹的约定,儿歌
彩虹的约定,小臭臭
往生咒,印能法师
征服(声动亚洲),简红
得到你的人却得不到你的心,欢子
得民心者得天下,刘欢
御剑江湖,董贞
御龙三国志,林俊杰
御龙吟,姚贝娜
御龙镜中潜,汪苏泷
御龙镜中隐,汪苏泷
微信爱,"陈玉建,陈美惠"
心中的女神,云飞
心云,林志颖
心在云上飞,乌兰托娅
心在跳情在烧,谢军
心太软续集DJ版,赵小兵
心湖雨又风,高胜美
心灵睡过的地方,韩磊
心照一生,RubberBand
心痛要到什么时候,龙梅子
心相印手牵手,杨钰莹
心禁锢,带泪的鱼
心禁锢,带泪的鱼
心经-梵唱佛音梵歌经咒念诵念颂,佛教音乐
心经梵唱,佛歌
心脏被挖空的痛,带泪的鱼
心花开在草原上,吉娜
心要痛到什么时候,龙梅子
忆红莲,洛天依
忘不了曾经的你,"高安,郭玲"
忘不了的温柔,安东阳
忘了你忘了我,王杰
忘尘,黄龄
忘川河,风萧萧
忘记你太难,阿里郎
忘记你太难（流行版）,阿里郎
忘记你的伤悲,李泽坚
忘记你需要多久,阿译
忘记尘缘忘记你,雷诺儿
忘记要忘记,李易峰
忧伤漫步,黑龙
忧伤还是快乐,K.Williams
忧伤还是快乐,纯音乐
快乐宝贝,青春美少女
快乐至上,林志颖
快到我碗里来,王麟
念奴娇,伊能静
怎么做都是我的错,带泪的鱼
怎么做都是我的错,带泪的鱼
怎么办我爱你,本兮
思念你却牵不到你的手,黑龙
思思念念全是你,高安
性感不是骚,DJ
怨苍天变了心,方季惟
恋するフォーチュンクッキー,AKB48
恍若如梦(新曲),石进
恨透你,王馨
恭喜发财歌-欢乐过新年大拜年唱版,新年歌曲
恭喜喜发财财,"龙梅子,王麟"
恰恰恰-chillycha,拉丁舞曲
恶人,"孙子涵,Xun"
恶作剧,林依晨
患难见真情,阿清
悲,带泪的鱼
悲しみはオーロラに,Aimer
悲伤的天使,钢琴曲
悲伤的李白,徐良
悲伤的眼泪逆流成河,孙露
悲怆第三章,"贝多芬,钢琴曲"
情与法,"高胜美,左宏元"
情为何物,"安东阳,樊桐舟"
情人博客,谢华
情人夜,黑龙
情人街,祁隆
情侣装,许嵩
情坎,冷漠
情归草原,云飞
情歌对唱,DJ
情歌王,古巨基
情海无兵刀,龙梅子
情深深雨蒙蒙,赵薇
情深谊长,韩红
情系大草原DJ版,何龙雨
情路弯弯,龙梅子
情醉,董贞
情难忘意难忘,甲子慧
惜别的海岸,龙飘飘
想亲亲想在心眼眼上,阿宝
想你想到心里头,杨浩龙
想你零点零一分,张靓颖
想哭了,李泽坚
想唱就唱,张含韵
想把我唱给你听（清晰版）,"老狼,王婧"
想起老妈妈,于文华
愁啊愁,迟志强
愈演愈烈,梦洛伊
意外,薛之谦
意大利舞曲let'sgojumparound,anry
愚公移山,江涛
愚爱,欢子
感谢妈妈,"高安,乌兰托娅"
感谢相识,"可歆,常定晨"
愿得一人心-雨宗林,李行亮
慈母颂,降央卓玛
慈爱,龙梅子
慢慢来比较快,梁静茹
慢摇低音炮,DJ
慢摇舞曲,慢摇
慢摇舞曲,"DJ舞曲,欧美经典"
我一直在路上,谢华
我一直走,郭富城
我上幼儿园,儿童歌曲
我不会一个人,"王铮亮,刘涛"
我不想说再见,白雪
我不是在笑,LeeSsang
我不是高富帅,高山林
我不配做你男朋友,张提
我为你歌唱WhenIt’sLonely,曲婉婷
我今天为你祝福,基督教歌曲
我从草原来全新缩混版,凤凰传奇
我从雪山来,雪山朗玛
我们不是相爱吗,T-ara
我们可以分手了,李贵府
我们好像在哪见过,"杨宗纬,叶蓓"
我们好像在哪见过(剧场版),"杨宗纬,叶蓓"
我们总是在寻找,花粥
我们是兄弟,朱明
我们是共产主义接班人,小蓓蕾组合
我们爱过就好,"龙梅子,薛之谦"
我们的天空,黄艺明
我们的歌谣萨尔萨舞曲版,凤凰传奇
我们的爱结束了-90后非主流,带泪的鱼
我们的爱结束了定样版,带泪的鱼
我们的纪念日,范玮琪
我们的路,筷子兄弟
我们结婚吧,金志文
我们这里还有鱼,"谢霆锋,黄大炜,游鸿明,黄中原"
我们都要安,简红
我会想起你,丽江小倩
我再也不相信爱情了,崔子格
我到外地去看你,好妹妹乐队
我只在乎你（声动亚洲）,霍尊
我叫mt,群星
我叫纠结伦,苏三
我听过你的歌,"王焱,何影"
我和小伙伴都惊呆了,赵小兵
我和我的祖国,平安
我和我的祖国,李双松
我唱故我在,吉克隽逸
我在念着你我的爱人,央金兰泽
我在草原等你来,乌兰托娅
我在贵州等你,张超（贵州）
我就是你最爱的人,黑龙
我就是最爱你的人,黑龙
我就要和你在一起,"赵英俊,夏筠妍"
我心似海洋,江美琪
我心永恒,毛宁
我心永恒,群星
我心永恒,童丽
我悄悄地蒙上你的眼睛,"毛宁,杨钰莹"
我悄悄地蒙上你的眼睛,"高明骏,陈艾湄"
我想听你说爱我,龙梅子
我想我不够好,回音哥
我想我是海,黄磊
我想找个女朋友,姜玉阳
我想要你给我一个家,带泪的鱼
我愿意(霍尊PK祈汉)（声动亚洲）,"霍尊,祈汉"
我是一个粉刷匠,小蓓蕾组合
我是一个被爱伤过的人,林峰
我是一只大苹果,小蓓蕾组合
我是一条小河,郭欢
我是一条小青龙,小蓓蕾组合
我是一棵小小草,小蓓蕾组合
我是一粒米,小蓓蕾组合
我是不是该安静地走开,李玲玉
我是不是该安静的走开,黎明
我是真心爱你的人-2011伴奏,任军太
我是真心爱你的人-吉特巴z4-6.54升,任军太
我是真心爱你的人-收藏如此珍爱,任军太
我是真心爱你的人DJ,任军太
我是真的爱他,带泪的鱼
我是真的爱他,带泪的鱼
我是真的爱他,带泪的鱼
我曾爱过的女孩,李易峰
我有一只小毛驴,少儿歌曲
我欲成仙,刘欢
我比从前更寂寞,杨坤
我爱你(?????),尹美莱
"我爱你,再见",朴树
"我爱你,塞北的雪",殷秀梅
我爱你不是因为你爱我,冷漠
我爱你你却爱着他,黑龙
我爱你塞北的雪,玖月奇迹
我爱你塞北的雪,曹芙嘉
我爱你塞北的雪,降央卓玛
我爱你塞北的雪,殷秀梅
我爱我中华,龙梅子
我爱我的幼儿园,儿歌
我爱木兰,带泪的鱼
我爱桃花我爱家,蒋大为
我爱的你却给她披上了嫁衣,艾歌
我爱的女人,黑龙
我爱的姑娘,李贵府
我爱的姑娘DJ舞曲,李贵府
我爱的男人变了心,陈娇
我爱鲁西西,小蓓蕾组合
我用胡琴和你说话,董文华
我用自己的方式爱你,陈明真
我的右边你的左肩,贺世哲
我的声音,丁丁
我的大学生活,郭德纲
我的好兄弟,"高进,张羽"
我的好妈妈[童声独唱],儿童歌曲
我的心一路向北（DJ版）,张祥洪
我的心是暖暖的,樊凡
我的快乐就是想你,陈雅森
我的快乐就是想你,红蔷薇
我的爱不能给的这样草率,龙梅子
我的爱人不要走,龙梅子
我的爱只给你一个,艾歌
我的爱情不见了,龙梅子
我的眼睛在下雨,刘秋仪
我的眼里只有你,景岗山
我的老班长,小曾
我的蒙古马,乌兰图雅
我的路线,黑龙
我的颜色,带泪的鱼
我真的害怕了寂寞,龙梅子
我着十号,李克勤
我知道你对我好,"乌兰托娅,雅锋"
我被青春撞了一下腰,张真
我要去西藏,乌兰图雅
我要去西藏,乌兰图雅
我要去远方,黑龙
我要的感觉,黑龙
我要闹绯闻,郭德纲
我该怎么做,欢子
我说亲爱的,"龙梅子,杨海彪"
我说今晚月光那么美，你说是的,好妹妹乐队
我还有点小糊涂,刘晨
我这个你不爱的人,迪克牛仔
我这个你不爱的人,迪克牛仔
我这样的男人,郑智化
我这样的男人,赵小兵
战友还记得吗,小曾
战歌,"dj舞曲,DJ"
手心里的温柔,云朵
打住打住,杨梓
打工十二月,迟志强
打工行,龙军
打樱桃,王二妮
打靶归来,阎维文
扔猫-郭德纲于谦相声,"郭德纲,于谦"
执迷不悔(国语版),王菲
扯罩罩,喵喵
把我的悲伤留给自己-江湖电影原声大碟,林苑
把爱交给时间DJ版,何龙雨
把爱深藏,侃侃
把耳朵叫醒,金海心
把耳朵叫醒,金海心
抗战二十年,Beyond
抹去泪水,韩宝仪
拉德斯基进行曲,斯特劳斯
拉手手亲口口,云飞
拉拉爱(英文版),DJ小可
拉黑隐身,带泪的鱼
拍手歌,儿童歌曲
拥抱你的滋味,dj舞曲
拥抱的理由,尹熙水
拥抱的理由(电视剧《因为爱情有多美》主题曲),李泰
拥抱着你的滋味,FreeParty
拨浪鼓,赵薇
拿出你的情，抓住你的爱,皆大欢喜
拿得起放不下,高进
指间沙,凤凰传奇
挥不去的情愁,"冷漠,陈瑞"
挥着翅膀的女孩,容祖儿
振华英雄,黑龙
换掉,李贞贤
掩饰寂寞,阿悄
摇一摇,黑龙
摇啊摇摇到外婆桥,小蓓蕾组合
摇太阳,方芳
摇摆.Remix1,蔡妍
摇摇宇宙,简红
摇摇宇宙,简红
摩天轮(舞曲版),"罗百吉,宝贝"
摩的大飚客,庞麦郎
擦干你的泪水,刘冲
擦皮鞋,洋洋
放下所有放不下你,祁隆
放你在心里,许美静
放手DJ版,"何龙雨,傅潇莹"
放手了吗,"带泪的鱼,蝎子"
放歌大草原,乌兰托娅
故乡情,降央卓玛
故乡情,程琳
故乡香,钟汉良
故人叹,吴琼
故宫的记忆,神思者
敖包相会(feat.云飞)(电影《草原上的人们》插曲),乌兰图雅
敖包相恋,大庆小芳
敖包相恋,龙梅子
敬你一碗青稞酒,容中尔甲
数天数,龚玥
数码宝贝主题曲,网络歌手
数鸭子,少儿歌曲
数鸭子-儿童歌曲大全婴儿启蒙歌曲,儿童歌曲
文殊菩萨心咒,佛经
"斑马,斑马",宋冬野
"斑马,斑马(Live)",张婧懿
斑马斑马,宋冬野
斗地主,"王麟,安琥"
断羽傲飞,安与骑兵
斯卡布罗集市,莎拉.布莱曼
斯琴高丽的伤心,斯琴高丽
斯琴高丽的伤心,斯琴高丽
新上海滩,叶丽仪
新回心转意,黑龙
新天龙八部,钟汉良
新娘嫁人了新郎不是我,印度音乐
新年到,小蓓蕾组合
新打工谣,陈星
新贵妃醉酒,歌浴森
新鸳鸯蝴蝶梦+千万次的问+流星雨+存在+大笑江湖,"小沈阳,田斯斯,胡维纳,肖洒,肖懿航,王琪玮,唐一嘉,丁泽强,陈俊豪"
无名指的等待,谭欣懿
无名花,简红
无奈的思绪,韩宝仪
无奈的结局-闫旭正式版,龙梅子
无奈的结局-闫旭正式版极速,龙梅子
无家可归的人,汪峰
无惧此夜,吉克隽逸
无言的结局,李茂山
无言的结局,卓依婷
无言的结局,"李茂山,林淑容"
无语,本兮
无间道(广东版),"刘德华,梁朝伟"
无限速,"本兮,阿悄"
日光倾城,卡奇社
旧日足迹,Beyond
时间都去哪了-2014元宵春晚大萌子王铮亮合唱,"大萌子,王铮亮"
时间都哪儿去了-主题曲,王铮亮
时间长了受不了,庄心妍
昆明湖,后弦
明天你好,莫茜茜
明天你好-网络歌手伴奏,牛奶咖啡
明明知道相思苦,龙梅子
明明说好不哭,何曼婷
明月千里寄相思(国),徐小凤
易水两岸,秦时明月
星球大战主题曲,群星
星空物语,"张翰,俞灏明,魏晨,朱梓骁"
春天的欲望,谢华
春天的欲望,谢华
春树秋霜,邓佳坤
春秋依然,李泽坚
春芽,汪峰
春野,Bandari
昨日帝王篇,赵晓磊
是我不对,高安
是我在做多情种,胡杨林
是我痛怎么了,带泪的鱼
昴-すばる-,谷村新司
晚霞中的红蜻蜓,杨钰莹
晨雾中的日出,蒋勋
晴空月儿明,西游记
暖城,龙梅子
暖风,周传雄
暗恋过，结局呢,新街口组合
曼莉,乌兰图雅
曾经拥有,Beyond
曾经是我最爱的人,陈瑞
曾经最美,孙露
曾经最美,朱铭捷
曾经相爱那么深,龙梅子
最初的最美,胡杨林
最卑微的下贱,带泪的鱼
最卑微的下贱,带泪的鱼
最右,龙梅子
最右,"龙梅子,老猫"
最右-老猫网络红歌,龙梅子
最后一个情人,陈瑞
最后一个情人,赵真
最后一次为你流泪,"伤感歌曲,最新流行歌曲"
最后的倾诉,韩磊
最后的倾诉,韩磊
最后的问候,BigBang
最好听的钢琴曲,"轻音乐,钢琴曲"
最好的我,龚芝怡
最心疼的人只有你,张振宇
最爱最恨都是你,李翊君
最爱的人伤我最深,张惠妹
最美丽的时候,艾歌
最美丽的花,王绎龙
最美的春天,李健
最美的歌儿唱给妈妈,蒋大为
最美的誓言,龙梅子
最远的你是我最近的爱,车继铃
最远的你是我最近的爱,童安格
月亮之上+自由飞翔雷鬼舞曲版,凤凰传奇
月亮代表谁的心,陶喆
月亮可以代表我的心,杨坤
月亮啊月亮,李贞贤
月亮船,杨钰莹
月光奏鸣曲,贝多芬
月光曲-世界名曲钢琴曲,贝多芬
月光水岸,Bandari
月光边境,林海
月满西楼-m45639慢四,邓丽君
月牙儿,赵本山
有一个人,"SylChan,JennyHo"
有一个美丽的传说,蒋大为
有一种爱叫做不放弃DJ版,何龙雨
有一种爱叫做放手,阿木
有个傻瓜爱过你,唐古
有些事现在不做一辈子都不会做了,五月天
有什么意义,汪峰
有桃花,许嵩
有没有一种思念永不疲惫,许强
有没有一种思念永不疲惫,群星
有点甜,汪苏泷&by2
有点甜,孙羽幽
有空你就来听听我唱歌,群星
朋友別哭,吕方
朋友的酒-dj阿圣2010-mix,李晓杰
朋友的酒-喊麦中文2011年9月19日,"MC,小月"
望故乡,陈星
未成年,本兮
未给姐姐递出的信,赵雷
朱砂泪,董贞
机器灵砍菜刀,张卫
李伯伯要当红军,张玮玮
李雷和韩梅梅,徐誉滕
村长的新娘,李泽坚
村长的新娘(dj版),李泽坚
村长的新娘(伴奏),李泽坚
杜十娘,李娜
杜十娘,卓依婷
来了一群小鸭子,小蓓蕾组合
来生再做你的人,艾歌
杨柳,范宗沛
杨柳青,阿宝
杯水情歌,庞龙
极品慢摇-dj,Alex
枉凝眉ForThePerfect,纯音乐
枕上书,董贞
枕着你的名字入睡,龚玥
枕边故事,华晨宇
枪恋,本兮
柔板Huldreslatter,莫扎特
查拉图斯特拉如是说,群星
校园的早晨,少儿歌曲
格子广场,带泪的鱼
桑巴-桑巴舞曲sb0216永远快乐,印度歌曲
梁山伯与朱丽叶,"卓文萱,曹格"
梁祝「萨克斯演奏」Saxophone,纯音乐
梁祝钢琴曲-离歌,理查德克莱德曼
梁祝（化蝶）,彭丽媛
梅岚梅岚我爱你,王麟
梦中新娘,祁隆
梦中的妈妈,云飞
梦中的婚礼,贵族乐团
梦中的婚礼(MARIAGED'AMOUR),纯音乐
梦中的婚礼-钢琴曲梦中的婚礼,钢琴曲
梦千年之恋,金莎
梦回云南,白玛多吉
梦回唐朝,唐朝乐队
梦回浏阳,玖月奇迹
梦回西藏,容中尔甲
梦太晚,董贞
梦带我旅行,高进
梦想起航,TFBOYS
梦断楼兰,"何龙雨,程欣"
梦的想,歌浴森
梦的海洋,瑜伽音乐
梦的翅膀受了伤(新版),蒋雪儿
梦遗少年,宋冬野
梦醉西楼,陈瑞
梦里水乡,龙梅子
梦里水乡,龚玥
梦里的天堂,皆大欢喜
梦高原,乌兰托娅
梧桐灯,许嵩
梵文,"超好听,大悲咒"
梵音大悲咒,白玛多吉
梵音大悲咒,齐豫
棒棒棒,"黎明,MC"
棒棒棒,MC
棒棒棒,佚名
森林狂想曲,吴金黛
森林鸟儿,雷蒙拉普
榣山遗韵,古剑奇谭
橘子汽水,南拳妈妈
櫻吹雪,周传雄
欢乐的跳吧,佚名
欢乐颂,小蓓蕾组合
欢乐颂,贝多芬
欢快的轻音乐,轻音乐
欢聚一堂,刘和刚
欢迎进行曲,中国人民解放军军乐团
歌浴森-三天三夜,歌浴森
正义之道,黄渤
正在输入,单小源
正月十五送欢乐,正月十五
此情可待,纯音乐
步步(电视剧《步步惊情》主题曲TVVerison),五月天
死一样的痛过,mc梦
死亡小提琴,带泪的鱼
残忍,带泪的鱼
每当我走过老师窗前,小蓓蕾组合
毕业那天,唐古
民歌大联唱,阿宝
水乡新娘,"石梅,冷漠"
水乡新娘,冷漠
水云间,凤凰传奇
水墨缘,玖月奇迹
水姻缘,田震
水手公园,GALA
水深火热,任军太
永恒的一天,庾澄庆
永远的战士,刀郎
求求你给点力,于玄子
求求你给点力,Mc九局
求求你给点力-加快版开场舞曲dj57,Dj
求苍天一件事,贺世哲
汉宫秋月,于秋旋
江之南葫芦丝,钟心
江南style,pls鸟叔
江南style,"泫雅,PSY"
江山,彭丽媛
江山无限,屠洪刚
江湖·闪蝶,河图
江湖啊，江湖,小沈阳
沂蒙山,谈芳兵
沂蒙颂,童丽
沙漠寂寞,李翊君
沙漠海,张宇
没得选择,樊凡
没有人比你更爱我,陈瑞
没有你的日子我真的好孤单,韩晶
没有情人的情人节,孟庭苇
没有感情的感情,艾歌
没有我你好好过,任军太
没有我你怎么办,何润东
没那么坚强,程响
河南,歌浴森
油菜花开（选自降E大调第九钢琴协奏曲）,莫扎特
泉水叮咚响,"二胡独奏,轻音乐"
泉水叮咚响,刘紫玲
泛滥地,带泪的鱼
泡沫(现场版),G.E.M.邓紫棋
泥人情歌,"韩岚,薛晓枫"
泪满天(DJ阿远Remix),龙梅子
泰坦尼克号主题曲,黑鸭子
洪湖水浪打浪,宋祖英
洪湖水浪打浪,彭丽媛
洪湖水浪打浪,孙滢迎
活出个样来给自己看,赵本山
活出个样来给自己看,衡越
活得潇洒,"谭咏麟,陈慧娴"
活泼之泉,雷蒙拉普
流动的城市,林海
流泪的红烛,"祁隆,阿斯满"
流浪歌,迟志强
流浪歌手的情人,老狼
流行中文,Alex
浅浅的笑,夏后
浪子的心情,闽南语歌曲
浪子的心情,叶启田
浴火凤凰,黑鸭子
海誓山盟亦会分开,本兮
海豚音,杰克逊
海边的星空,理查德·克莱德曼
消灾吉祥神咒,佛教音乐
深夜地下铁,陶钰玉
深夜的咖啡,陈瑞
深山禅林,古筝佛赞
混音热播舞曲feelalright感觉极好,Angel
清晨的紫禁城,李志辉
渡情,"高胜美,左宏元"
渡情,"左宏元,张慧清"
渡情-片尾曲西湖美景,新白娘子传奇
温柔与霸道,群星
温柔与霸道-专业下载专业的设备,杭娇
渴死的鱼,DJ
渴死的鱼,DJ小可
游牧情歌,格格
溜溜的山歌溜溜的唱,皆大欢喜
溜溜的情歌现代拉丁舞曲版,凤凰传奇
滴答滴-北京爱情故事l,侃侃
漂亮的姑娘你别怕,李贵府
漂亮的姑娘你别怕-dj加快2013,李贵府
漂亮的姑娘你别怕-dj加快版,李贵府
漂亮的姑娘你别怕-dj蓝加快版博白,李贵府
漂亮的姑娘你别怕-快四dj混音版,李贵府
漂亮的姑娘你别怕DJ版,李贵府
漂亮的姑娘你别怕DJ舞曲,李贵府
漂移,周杰伦
潇洒爱一回,黑龙
潮湿的心,卓依婷
潮湿的心,甘萍
激战上海滩,罗百吉
火了火了火,王蓉
火影忍者最新主题曲ブルバド青鸟完整版,佚名
火火的姑娘(合唱),东方红艳
火火的姑娘-东方红艳dj何鹏remix,DJ何鹏
火火的姑娘-吉特巴高音质,东方红艳
火火的爱,蓝琪儿
炉心融解,初音未来
点燃一根烟,林玉英
烟花三月下扬州,刘紫玲
烟花易冷-伽蓝雨钢琴版gaius,周杰伦
烧酒话,卓依婷
照顾自己,张含韵
熊出没主题曲(我还有点小糊涂),佚名
熊猫咪咪,小蓓蕾组合
燃烧吧!火鸟,高凌风
燃烧翅膀,樊凡
爱上一个梦,程响
爱上了是谁的错DJ舞曲版,糯米
爱上你我傻乎乎,郭玲
爱上你我很快乐,水木年华
爱上你的美,"张忆亚,常颖"
爱上你等于爱上了错,张振宇
爱上你等于爱上寂寞,那英
爱上鲨鱼的人鱼,朴熙京
爱不到的滋味,黑龙
爱之舞,新七小福
爱了就爱了,陈琳
爱人跟人走,卓依婷
爱人跟人走,陈小云
爱人跟人走-闽南语情歌大对唱台,闽南语歌曲
爱从草原来,乌兰托娅
爱似水仙,金海心
爱你一生一世,谢华
爱你十分泪七分,裘海正
爱你却要说分手,冷漠
爱你就让你快乐-feat,"智馨,桐瑶"
爱你比永远多一天DJ版,许诺
爱你的我今天长这样,吴奇隆
爱你的话还没有说出口,祁隆
爱你真好难,李玲玉
爱你还是恨你,龙梅子
爱信仰,龙梅子
爱出发,TFBOYS
爱到此为止,贺世哲
爱到痛处就分手DJ版,何龙雨
爱啦啦,海楠
爱在天地动摇时,郑家星
爱在天地间,降央卓玛
爱在天地间,祖海
爱在思金拉措,央金兰泽
爱大了受伤了,汤潮
爱好辛苦,"龙梅子,韩松圃"
爱好辛苦,"龙梅子,韩松圃"
爱开到荼蘼,带泪的鱼
爱得忘了,谢华
爱恨情歌,"冷漠,张冬玲"
爱恨情歌对唱,"冷漠,张冬玲"
爱情一阵风,闽南语歌曲
爱情一阵风,"卓依婷,林正桦"
爱情三十六计(声动亚洲),简红
爱情不值得我流泪,纪晓斌
爱情不能当饭吃,李泽坚
爱情伤了你爱情害了我,大庆小芳
爱情伤了你爱情害了我,大庆小芳
爱情剧终,婧
爱情怎么喊停,曾沛慈
爱情惹的祸,姜玉阳
爱情曾来过,刘恺威
爱情没有那么美,张玮伽
爱情的秋天,孙露
爱情红绿灯,徐一鸣
爱情约定,李行亮
爱情终点,王绎龙
爱情美酒,"龙梅子,老猫"
爱情诺曼底,黄征
爱我中国,"龙梅子,格格,高安,祁隆"
爱我你怕了吗(独唱版),姜育恒
爱我你怕了吗　,姜育恒
爱我就别伤害我,刘嘉亮
爱我就放过我DJ阿圣,子枫
爱我的人请你告诉我（DJ版）,张祥洪
爱我（女生版）,袁姗姗
爱拼才会贏,叶启田
爱断情伤,带泪的鱼
爱无可救药,艾歌
爱无罪,迪克牛仔
爱是...(ii),TheDaydream
爱是一颗幸福的子弹,汪峰
爱是你我-小沈阳夫妻档歌曲,"小沈阳,沈春阳"
爱本无罪,"汤潮,岳思思"
爱歆,"可歆,群可"
爱殇,董贞
爱流沙,李泽坚
爱的世界只有你,"祁隆,乐凡"
爱的世界只有你DJ,祁隆
爱的世界只有你（对唱版）（feat.乐凡）,祁隆
爱的供养（新版）,杨幂
爱的华尔兹,"俞灏明,郑爽"
爱的太累(djmix),黑龙
爱的好甜,贺世哲
爱的期限,祁隆
爱的童话,"高安,宋娜"
爱的纪念,理查德·克莱德曼
爱的罗曼蒂,带泪的鱼
爱的翅膀受了伤,蒋雪儿
爱的血泪史-dj传奇制作,龙梅子
爱的路上只有我和你,任贤齐
爱的迷雾,陈瑞
爱着你却伤了她,冷漠
爱着你宠着你,祁隆
爱让我们在一起,黑龙
爱逝.枷锁,带泪的鱼
爱逝枷锁,带泪的鱼
爱逝枷锁,带泪的鱼
爱错人,赵小兵
爱陕北,王二妮
爱，燃烧(电视剧《千金归来》片尾曲),王铮亮
父亲是山,任军太
父亲是山,任军太
父亲是山(dj版),任军太
父老乡亲,彭丽媛
爸爸去哪儿,"林志颖,田亮,郭涛,王岳伦,张亮,Kimi,田雨橙,王诗龄,郭子睿,张悦轩"
爸爸去哪儿(英文版),电视原声
爸爸妈妈听我说,小葡萄
爸爸妈妈听我说-铃金苗有声图书馆,儿童歌曲
牛奶歌,七公主
牡丹之歌,蒋大为
牧人,德德玛
牧人,降央卓玛
牧羊曲-电影少林寺插曲,李玲玉
牧马少年,乌兰托娅
牵不到你的手,高凌风
牵挂你的我,林志颖
犯贱（DJ版）,徐良
犹见炊烟,邓丽君
狐狸精,"罗志祥,米娜"
狩猎,胎教音乐
独家记忆(国),陈小春
独自面对,龙梅子
狱中望月,迟志强
猫叫老鼠惨叫声,佚名
猫咪宝贝,DJ小可
献给爱丽丝,理查德·克莱德曼
献给爱丽丝,贝多芬
玉石俱焚,程响
玖月奇迹推荐01,玖月奇迹
玖月情歌,玖月奇迹
玛利亚的心,歌浴森
玛尼情歌,上官红燕
玩腻,M3
玩腻dj版,Dj
玫瑰人生（声动亚洲）,小野丽莎
玫瑰花与傻瓜(r&b版),任军太
玫瑰花的葬礼,许嵩
现在我很幸福,A-Lin
现场-超好听的英文经典,dj舞曲
玻璃杯,曹卉娟
珊瑚颂,韩红
珊瑚颂,董文华
琴师,音频怪物
琴韵禅音,霹雳英雄
甜甜的小妹,陈雅森
生命之杯,RickyMartin
生日歌,英文歌曲
生来孤独,汪峰
生活怎么过,带泪的鱼
用多少眼泪才能让你相信,蒋雪儿
用心爱你你不懂,田一龙
甩葱歌(DJ版),初音未来
电话情思,龚玥
男人不怕失败,黑龙
男人不能惯,赵奕欢
男人再晚也别忘了回家,贺一航
男人情女人心,"龙千玉,袁小迪"
男人的好,张宇
男人靠得住猪都能上树dj版,张吉
男儿志(少林足球插曲),刘德华
